Weather_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
359,Tuatapere,NZ,-46.1333,167.6833,66.47,61,100,7.52
360,Manadhoo,MV,5.7667,73.3833,80.78,74,100,5.21
361,Zhigansk,RU,66.7697,123.3711,-29.02,95,93,6.87
362,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,84,52,13.29
363,Noyabrsk,RU,63.1994,75.4507,7.68,94,100,15.43
364,Qingdao,CN,36.0986,120.3719,45.7,55,64,2.95
365,Rosario Oeste,BR,-14.8361,-56.4275,77.49,79,100,2.24
366,Ancud,CL,-41.8697,-73.8203,56.64,89,100,20.71
367,Alofi,NU,-19.0595,-169.9187,85.89,74,75,10.36
368,Vangaindrano,MG,-23.35,47.6,71.87,91,73,3.53
369,Hof,DE,50.3167,11.9167,35.46,93,100,10.36
370,Teya,RU,60.3778,92.6267,5.88,90,100,10.45
371,Itaituba,BR,-4.2761,-55.9836,79.56,71,72,0.98
372,Charlotte,US,35.2271,-80.8431,63.86,95,100,6.91
373,Kuala Terengganu,MY,5.3302,103.1408,76.66,92,100,5.77
374,Naze,JP,28.3667,129.4833,63.5,57,72,14.29
375,Kirakira,SB,-10.4544,161.9205,84.43,72,96,5.01
376,Rize,TR,40.9044,40.8949,30.87,58,26,6.73
377,Bombay,IN,19.0144,72.8479,76.98,69,40,6.91
378,Carlsbad,US,33.1581,-117.3506,57.63,76,0,8.99
379,Oneonta,US,42.4529,-75.0638,53.11,89,100,6.98
380,Sur,OM,22.5667,59.5289,70.93,57,0,4.52
381,Seymchan,RU,62.8833,152.4333,-47.85,97,67,0.63
382,Wewak,PG,-3.5534,143.6268,76.39,93,100,0.25
383,Port-Cartier,CA,50.0334,-66.8654,35.74,100,100,1.99
384,Finschhafen,PG,-6.6024,147.8681,85.17,66,100,6.31
385,Dubrovnik,HR,42.6481,18.0922,53.24,87,40,10.36
386,Kumluca,TR,36.3703,30.2869,57.56,73,39,5.3
387,Necochea,AR,-38.5473,-58.7368,72.12,62,100,8.77
388,Dicabisagan,PH,17.0818,122.4157,78.6,86,100,5.68
389,Aripuana,BR,-9.1667,-60.6333,77.54,78,100,0.83
390,Byron Bay,AU,-28.65,153.6167,84.94,69,12,8.88
391,Vilhena,BR,-12.7406,-60.1458,70.41,91,100,2.77
392,Gotsu,JP,35.0,132.2167,54.25,51,10,9.62
393,Senador Jose Porfirio,BR,-2.5908,-51.9542,77.4,80,99,2.98
394,San Isidro,PE,-12.1167,-77.05,65.79,82,75,12.66
395,Grindavik,IS,63.8424,-22.4338,28.87,74,40,6.91
396,Mao,ES,39.8885,4.2658,57.76,94,75,5.75
397,Maraa,BR,-1.8333,-65.3667,72.91,99,100,2.8
398,Ossora,RU,59.2353,163.0719,15.28,81,100,4.27
399,Satipo,PE,-11.2522,-74.6386,71.33,80,100,2.42
400,Gainesville,US,29.6516,-82.3248,65.75,80,0,0.0
401,Victor Harbor,AU,-35.5667,138.6167,61.0,63,90,12.57
