City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
434,Svetlaya,46.5389,138.3297,10.31,72,1,9.48,RU,2022-12-05 22:34:00
435,Khandyga,62.6667,135.6,-21.71,100,100,1.5,RU,2022-12-05 22:34:00
436,Cayenne,4.9333,-52.3333,77.04,94,81,3.44,GF,2022-12-05 22:34:01
437,Sao Felix Do Xingu,-6.6447,-51.995,71.29,98,69,0.85,BR,2022-12-05 22:34:01
438,Ventspils,57.3894,21.5606,24.73,100,100,3.44,LV,2022-12-05 22:34:01
439,Bonthe,7.5264,-12.505,78.78,84,63,3.31,SL,2022-12-05 22:34:02
440,Gbarnga,6.9956,-9.4722,73.76,93,100,1.97,LR,2022-12-05 22:34:02
441,Sao Jose Da Coroa Grande,-8.8978,-35.1478,76.46,86,21,11.86,BR,2022-12-05 22:34:03
442,Svetlogorsk,52.6333,29.7333,15.37,89,86,10.0,BY,2022-12-05 22:34:03
443,Bubaque,11.2833,-15.8333,80.94,69,71,6.42,GW,2022-12-05 22:34:04
444,Tungi,23.89,90.4058,69.8,78,0,3.44,BD,2022-12-05 22:34:04
445,Sioux Lookout,50.1001,-91.917,-3.93,71,20,10.36,CA,2022-12-05 22:34:04
446,Stornoway,58.2093,-6.3865,42.76,80,100,10.36,GB,2022-12-05 22:34:05
447,Jarocin,51.9727,17.5026,39.18,86,100,5.06,PL,2022-12-05 22:34:05
448,Kerema,-7.9631,145.7785,82.62,69,80,2.19,PG,2022-12-05 22:34:06
449,Goya,-29.14,-59.2626,88.66,25,0,7.14,AR,2022-12-05 22:31:02
450,Morros,-9.4467,-46.3003,76.73,66,100,4.5,BR,2022-12-05 22:34:06
451,Tecpan,14.7623,-90.9947,61.61,80,28,4.74,GT,2022-12-05 22:34:07
452,Sorland,67.667,12.6934,39.06,81,100,38.63,NO,2022-12-05 22:34:07
453,Vila,42.0304,-8.1588,41.88,90,97,3.27,PT,2022-12-05 22:34:08
454,Kununurra,-15.7667,128.7333,82.38,89,57,6.91,AU,2022-12-05 22:34:08
455,Zambezi,-13.5432,23.1047,62.56,93,38,5.08,ZM,2022-12-05 22:35:09
456,Pasighat,28.0667,95.3333,59.07,46,28,3.44,IN,2022-12-05 22:35:09
457,Buraydah,26.326,43.975,59.45,74,100,11.03,SA,2022-12-05 22:35:10
458,Yatou,37.15,122.3833,30.74,57,2,9.1,CN,2022-12-05 22:35:10
459,Capao Bonito,-24.0058,-48.3494,66.49,98,100,0.76,BR,2022-12-05 22:35:11
460,Nome,64.5011,-165.4064,30.27,86,75,18.41,US,2022-12-05 22:35:11
461,Cumra,37.5732,32.7745,41.14,71,79,1.19,TR,2022-12-05 22:35:11
462,Mustafakemalpasa,40.0353,28.4117,53.65,92,89,1.48,TR,2022-12-05 22:35:12
463,Porteirinha,-15.7433,-43.0283,72.19,74,94,3.36,BR,2022-12-05 22:35:12
